"","line","name","notes","objectid","url","coords.x1","coords.x2"
"66","J-Z","Broad St","J-all times, Z-rush hours AM westbound, PM eastbound",428,"http://web.mta.info/nyct/service/",-74.0110559999175,40.706476001106
"67","R-W","Cortlandt St","N-nights, R-all other times",429,"http://web.mta.info/nyct/service/",-74.0111319647327,40.7105129841524
"68","2-3","Wall St","2-all times, 3-all times exc nights",430,"http://web.mta.info/nyct/service/",-74.0090999984426,40.7068209997534
"69","B-D","Grand St","B-weekdays and evenings, D-all times",432,"http://web.mta.info/nyct/service/",-73.9937529991359,40.7182669995499
"70","B-D-F-M","Broadway - Lafayette St","B,M-weekdays and evenings, D,F-all times",433,"http://web.mta.info/nyct/service/",-73.9962039987605,40.725296998738
"71","J-Z","Bowery","J-all times, Z-rush hours AM westbound, PM eastbound",434,"http://web.mta.info/nyct/service/",-73.9938069065424,40.7202468831473
"72","N-Q","Canal St","N-all times, Q-weekdays and evenings",435,"http://web.mta.info/nyct/service/",-74.0010547130603,40.7188142635871
"73","A-C-E","23rd St","A-nights, C-all other times, E-all times",436,"http://web.mta.info/nyct/service/",-73.998041001172,40.7459059994
"74","A-C-E","34th St - Penn Station","A,E-all times, C-all times exc nights",437,"http://web.mta.info/nyct/service/",-73.9933909997058,40.7522870007759
"75","1-2-3","14th St","1,2-all times, 3-all times exc nights",439,"http://web.mta.info/nyct/service/",-74.000201000635,40.7378259997281
"76","F-M","14th St","F-all times, M-weekdays and evenings",441,"http://web.mta.info/nyct/service/",-73.9962089992136,40.7382279996951
"77","L","6th Ave","L-all times",442,"http://web.mta.info/nyct/service/",-73.9977507887478,40.7377414698105
"78","L","8th Ave","L-all times",443,"http://web.mta.info/nyct/service/",-74.0025780010476,40.739776666382
"79","A-C-E","14th St","A,E-all times, C-all times exc nights",444,"http://web.mta.info/nyct/service/",-74.0016899993703,40.7408930001933
"80","4-6-6 Express","Bleecker St","4 nights, 6-all times, 6 Express-weekdays PM",457,"http://web.mta.info/nyct/service/",-73.9946590000633,40.7259146668266
"81","1-2","Franklin St","1-all times, 2-nights",464,"http://web.mta.info/nyct/service/",-74.0068860027711,40.7193180013021
"82","7-7 Express","5th Ave - Bryant Pk","7-all times, 7 Express-rush hours AM westbound, PM eastbound",466,"http://web.mta.info/nyct/service/",-73.9819629985671,40.7538210006482
"83","4-6-6 Express","Spring St","4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound",467,"http://web.mta.info/nyct/service/",-73.9971410000667,40.7223009999937
"84","7-7 Express","34th St - Hudson Yards","7-all times, 7 Express-rush hours AM westbound, PM eastbound",470,"http://web.mta.info/nyct/service/",-74.0021970944221,40.755446359616
